id,po,so,name,item,itemdesc,qty,lineup,converting,fg,delivery,shipqty,date,deliverydate,comment,c,p,o,f,shipstatus,prodqty,pendingqty,orderstatus,creasingtime,printingtime,dcrtime,finishrtime,lineuptime,converttime,fgtime,lastedited,deliverytime
4,AP-41208-4,460,"AP CARTON BOX, INC.",1016x1260 350lbs CB Flute (1016(140-115(3)140)),1016(140-115(3)140),500,f,f,f,f,,2022-05-17,,,f,f,f,f,,,,Planner,,,,,,,,,
5,AP-41208-4,478,"AP CARTON BOX, INC.",1016x1260 350lbs CB Flute (1016(140-115(3)140)),1016(140-115(3)140),500,f,f,f,f,,2022-05-19,,,f,f,f,f,,,,Planner,,,,,,,,,
6,AP-41369-4,531,"AP CARTON BOX, INC.",1016x1260 350lbs CB Flute (1016(140-115(3)140)),1016(140-115(3)140),500,f,f,f,f,,2022-05-25,,,f,f,f,f,,,,Planner,,,,,,,,,
7,41208-4,538,"AP CARTON BOX, INC.",1016x1260 350lbs CB Flute (1016(140-115(3)140)),1016(140-115(3)140),209,f,f,f,f,,2022-05-26,,,f,f,f,f,,,,Planner,,,,,,,,,
8,AP-40834-3,249,"AP CARTON BOX, INC.",1016x1335 350lbs BC-Flute (1016x1335 (140-125(3)-140)),1016x1335 (140-125(3)-140),500,f,f,f,f,,2022-04-19,,,f,f,f,f,,,,Planner,,,,,,,,,
9,AP-41082-3,436,"AP CARTON BOX, INC.",1016x2198 350lbs CB Flute SPL (1016(200-125-150-125-200)),1016(200-125-150-125-200),500,f,f,f,f,,2022-05-16,,,f,f,f,f,,,,Planner,,,,,,,,,
10,"",116,"AP CARTON BOX, INC.",1016x810 350lbs BC-Flute (1016x810 350lbs),1016x810 350lbs,500,f,f,f,f,,2022-03-21,,,f,f,f,f,,,,Planner,,,,,,,,,
11,AP-41944-3,735,"AP CARTON BOX, INC.",1016x810 350lbs BC-Flute (1016x810 350lbs),1016x810 350lbs,700,f,f,f,f,,2022-07-07,,,f,f,f,f,,,,Planner,,,,,,,,,
12,V2PO22-01544,560,Exelpack Corporation,1020x1100 350lbs SPL BC Flute (1020(150-115-150-115-150)),1020(150-115-150-115-150),1313,f,f,f,f,,2022-05-28,,,f,f,f,f,,,,Planner,,,,,,,,,
13,22-00275,189,Exelpack Corporation,1026x781 350lbs SPL BC Flute (1026x781 350lbs),1026x781 350lbs,3300,f,f,f,f,,2022-04-08,,,f,f,f,f,,,,Planner,,,,,,,,,
14,22-00438,635,Exelpack Corporation,1026x781 350lbs SPL BC Flute (1026x781 350lbs),1026x781 350lbs,3200,f,f,f,f,,2022-06-11,,,f,f,f,f,,,,Planner,,,,,,,,,
15,AP-41198-4,433,"AP CARTON BOX, INC.",1072x1496 350lbs CB Flute (306x460x306 (m to f )),306x460x306 (m to f ),1090,f,f,f,f,,2022-05-16,,,f,f,f,f,,,,Planner,,,,,,,,,
16,0008003ES,682,Thousand Oaks Packaging Corporation-PPC,1075x609 125lbs C Flute (1075),1075,500,f,f,f,f,,2022-06-24,,,f,f,f,f,,,,Planner,,,,,,,,,
17,DX7895,522,Thousand Oaks Packaging Corporation-PPC,1092x1003 175lbs B Flute,"",750,f,f,f,f,,2022-05-25,,,f,f,f,f,,,,Planner,,,,,,,,,
18,AP-40618-4,177,"AP CARTON BOX, INC.",1092x1060 350lbs BC-Flute (1092x1060 350lbs),1092x1060 350lbs,930,f,f,f,f,,2022-04-05,,,f,f,f,f,,,,Planner,,,,,,,,,
19,AP-41193-4,435,"AP CARTON BOX, INC.",1092x1336 350lbs CB Flute SPL (1092(200-125-150-125-200)),1092(200-125-150-125-200),700,f,f,f,f,,2022-05-16,,,f,f,f,f,,,,Planner,,,,,,,,,
20,AP-40604-4,171,"AP CARTON BOX, INC.",1102X1510 350lbs BC-Flute (186x730x186),186x730x186,1880,f,f,f,f,,2022-04-04,,,f,f,f,f,,,,Planner,,,,,,,,,
21,AP-41116-4,419,"AP CARTON BOX, INC.",1102x1510 350lbs CB Flute (1102(140-115(3)140)),1102(140-115(3)140),1730,f,f,f,f,,2022-05-13,,,f,f,f,f,,,,Planner,,,,,,,,,
22,22-00287,230,Exelpack Corporation,1109x586 350lbs SPL (TL150-115-TL150-115-TL150),TL150-115-TL150-115-TL150,3500,f,f,f,f,,2022-04-13,,,f,f,f,f,,,,Planner,,,,,,,,,
23,22-00410,591,Exelpack Corporation,1109x586 350lbs SPL (TL150-115-TL150-115-TL150),TL150-115-TL150-115-TL150,3200,f,f,f,f,,2022-06-02,,,f,f,f,f,,,,Planner,,,,,,,,,
24,AP-41131-4,414,"AP CARTON BOX, INC.",1117x1652 175lbs C Flute (1117(140-115-140)),1117(140-115-140),330,f,f,f,f,,2022-05-13,,,f,f,f,f,,,,Planner,,,,,,,,,
25,AP-41193-3,437,"AP CARTON BOX, INC.",1118x1336 350lbs SPL CB Flute (1118(200-125-150-125-200)),1118(200-125-150-125-200),700,f,f,f,f,,2022-05-16,,,f,f,f,f,,,,Planner,,,,,,,,,
26,3735,758,ContainerBoard & Packaging Company Inc.,1120x2300 175lbs B-Flute (1120 (140x125x140)),1120 (140x125x140),500,f,f,f,f,,2022-07-08,,,f,f,f,f,,,,Planner,,,,,,,,,
27,AP-41601-4,622,"AP CARTON BOX, INC.",1143x1120 350lbs CB Flute (1143(140-115(3)140)),1143(140-115(3)140),300,f,f,f,f,,2022-06-09,,,f,f,f,f,,,,Planner,,,,,,,,,
28,AP-41271-4,477,"AP CARTON BOX, INC.",1143x1510 350lbs CB Flute (1143(150-115(3)150),1143(150-115(3)150,300,f,f,f,f,,2022-05-19,,,f,f,f,f,,,,Planner,,,,,,,,,
29,22-00459,649,Exelpack Corporation,1165x550 175lbs C Flute (1165(150-125-150)),1165(150-125-150),1350,f,f,f,f,,2022-06-16,,,f,f,f,f,,,,Planner,,,,,,,,,
30,"",169,"AP CARTON BOX, INC.",1168x1364 350lbs BC-Flute (1168x1364 350lbs),1168x1364 350lbs,1,f,f,f,f,,2022-04-04,,,f,f,f,f,,,,Planner,,,,,,,,,
31,22-00484,675,Exelpack Corporation,1173x540 350lbs SPL  BC Flute (29794(150-115-150-115-150)),29794(150-115-150-115-150),2200,f,f,f,f,,2022-06-22,,,f,f,f,f,,,,Planner,,,,,,,,,
32,AP-40708-4,215,"AP CARTON BOX, INC.",1182x1244 300lbs BC-Flute (131x920x131 male to female),131x920x131 male to female,4140,f,f,f,f,,2022-04-12,,,f,f,f,f,,,,Planner,,,,,,,,,
33,AP-41029-4,353,"AP CARTON BOX, INC.",1182x1244 300lbs CB Flute (131X920X131),131X920X131,4500,f,f,f,f,,2022-05-05,,,f,f,f,f,,,,Planner,,,,,,,,,
34,AP-40707-4,263,"AP CARTON BOX, INC.",1194x1398 300lbs BC-Flute (137x920x137 (140-115(4)),137x920x137 (140-115(4),5000,f,f,f,f,,2022-04-20,,,f,f,f,f,,,,Planner,,,,,,,,,
35,AP-41282-4,484,"AP CARTON BOX, INC.",1194x1398 300lbs BC-Flute (137x920x137 (140-115(4)),137x920x137 (140-115(4),2000,f,f,f,f,,2022-05-19,,,f,f,f,f,,,,Planner,,,,,,,,,
36,AP-41383-4,536,"AP CARTON BOX, INC.",1194x1398 300lbs BC-Flute (137x920x137 (140-115(4)),137x920x137 (140-115(4),2000,f,f,f,f,,2022-05-26,,,f,f,f,f,,,,Planner,,,,,,,,,
37,AP-41025-4,352,"AP CARTON BOX, INC.",1194x1398 300lbs CBF (137X920X137),137X920X137,4000,f,f,f,f,,2022-05-05,,,f,f,f,f,,,,Planner,,,,,,,,,
38,"",146,Thousand Oaks Packaging Corporation-PPC,1194x1476 350lbs BC-Flute (1194x1476 350lbs),1194x1476 350lbs,500,f,f,f,f,,2022-03-31,,,f,f,f,f,,,,Planner,,,,,,,,,
39,DX7895,522,Thousand Oaks Packaging Corporation-PPC,1194x832 175lbs B Flute (1194(140-115-140)),1194(140-115-140),3850,f,f,f,f,,2022-05-25,,,f,f,f,f,,,,Planner,,,,,,,,,
40,0007823 UM,360,Thousand Oaks Packaging Corporation-PPC,1199x1950 175lbs C Flute (1199(140-125-140)),1199(140-125-140),200,f,f,f,f,,2022-05-06,,,f,f,f,f,,,,Planner,,,,,,,,,
41,946,700,Philpack Comm'l Ent. Inc.,11x16 NT C Flute (279),279,10000,f,f,f,f,,2022-06-27,,,f,f,f,f,,,,Planner,,,,,,,,,
42,"",43,Jinhong Packaging-PPC,12.67x45.625 125lbs. C-Flutes (102x114x102),102x114x102,1800,f,f,f,f,,2022-02-11,,,f,f,f,f,,,,Planner,,,,,,,,,
43,"",18,Thousand Oaks Packaging Corporation-PPC,1200x1200mm 175lbs. B-Flute (1200mm Spl.Comb. 140-115-140),1200mm Spl.Comb. 140-115-140,20,f,f,f,f,,2022-01-30,,,f,f,f,f,,,,Planner,,,,,,,,,
44,AP-41253-3,475,"AP CARTON BOX, INC.",1219x1646 350lbs SPL CB Flute (1219(150-125(3)150)),1219(150-125(3)150),700,f,f,f,f,,2022-05-18,,,f,f,f,f,,,,Planner,,,,,,,,,
45,AP-41960-4,734,"AP CARTON BOX, INC.",1219x2438 NT C-Flute (1219x2438 NT),1219x2438 NT,510,f,f,f,f,,2022-07-07,,,f,f,f,f,,,,Planner,,,,,,,,,
46,AP-41705-4,651,"AP CARTON BOX, INC.",1219x580 300lbs CB Flute (1219(140-115(4))),1219(140-115(4)),500,f,f,f,f,,2022-06-17,,,f,f,f,f,,,,Planner,,,,,,,,,
